- - - [25/Mar/2022:10:08:57 +0100] "GET /web/index.php HTTP/1.1" 200 1377 "http://localhost:81/web/index.php?r=site%2Findex" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:09:47 +0100] "-" 408 - "-" "-"
- - - [25/Mar/2022:10:10:06 +0100] "GET /web/index.php?r=site%2Fabout HTTP/1.1" 200 1049 "http://localhost:81/web/index.php" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:10:57 +0100] "-" 408 - "-" "-"
- - - [25/Mar/2022:10:26:33 +0100] "GET /web/index.php?r=site%2Fentry HTTP/1.1" 404 2367 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:26:33 +0100] "GET /web/assets/b9b898b0/yii.js HTTP/1.1" 200 5813 "http://localhost:81/web/index.php?r=site%2Fentry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:26:33 +0100] "GET /web/assets/89b870a/css/bootstrap.css HTTP/1.1" 200 26384 "http://localhost:81/web/index.php?r=site%2Fentry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:26:33 +0100] "GET /web/assets/89b870a/js/bootstrap.bundle.js HTTP/1.1" 200 49039 "http://localhost:81/web/index.php?r=site%2Fentry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:26:33 +0100] "GET /web/assets/bac3bd97/jquery.js HTTP/1.1" 200 85119 "http://localhost:81/web/index.php?r=site%2Fentry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:26:43 +0100] "GET /web/index.php?r=site/entry HTTP/1.1" 404 2367 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:27:27 +0100] "GET /web/index.php?r=site/entry HTTP/1.1" 500 59758 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:27:28 +0100] "GET /favicon.ico HTTP/1.1" 404 271 "http://localhost:81/web/index.php?r=site/entry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:28:02 +0100] "GET /web/index.php?r=site/entry HTTP/1.1" 500 102105 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:28:02 +0100] "GET /favicon.ico HTTP/1.1" 404 271 "http://localhost:81/web/index.php?r=site/entry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:33:23 +0100] "GET /web/index.php?r=site/entry HTTP/1.1" 500 97047 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:33:23 +0100] "GET /favicon.ico HTTP/1.1" 404 271 "http://localhost:81/web/index.php?r=site/entry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:37:10 +0100] "GET /web/index.php?r=site/entry HTTP/1.1" 500 101895 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:37:10 +0100] "GET /favicon.ico HTTP/1.1" 404 271 "http://localhost:81/web/index.php?r=site/entry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:39:30 +0100] "GET /web/index.php?r=site/entry HTTP/1.1" 200 1444 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:39:30 +0100] "GET /web/css/site.css HTTP/1.1" 200 605 "http://localhost:81/web/index.php?r=site/entry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:39:30 +0100] "GET /web/assets/b9b898b0/yii.validation.js HTTP/1.1" 200 3068 "http://localhost:81/web/index.php?r=site/entry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:39:30 +0100] "GET /web/assets/b9b898b0/yii.js HTTP/1.1" 200 5813 "http://localhost:81/web/index.php?r=site/entry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:39:30 +0100] "GET /web/assets/b9b898b0/yii.activeForm.js HTTP/1.1" 200 7457 "http://localhost:81/web/index.php?r=site/entry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:39:30 +0100] "GET /web/assets/89b870a/css/bootstrap.css HTTP/1.1" 200 26384 "http://localhost:81/web/index.php?r=site/entry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:39:30 +0100] "GET /web/assets/bac3bd97/jquery.js HTTP/1.1" 200 85119 "http://localhost:81/web/index.php?r=site/entry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:39:31 +0100] "GET /web/assets/89b870a/js/bootstrap.bundle.js HTTP/1.1" 200 49039 "http://localhost:81/web/index.php?r=site/entry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:39:31 +0100] "GET /favicon.ico HTTP/1.1" 404 271 "http://localhost:81/web/index.php?r=site/entry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:39:38 +0100] "OPTIONS * HTTP/1.0" 200 - "-" "Apache/2.4.52 (Debian) (internal dummy connection)"
- - - [25/Mar/2022:10:39:39 +0100] "POST /web/index.php?r=site/entry HTTP/1.1" 200 955 "http://localhost:81/web/index.php?r=site/entry" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:10:40:31 +0100] "-" 408 - "-" "-"
- - - [25/Mar/2022:11:38:53 +0100] "-" 408 - "-" "-"
- - - [25/Mar/2022:11:55:59 +0100] "GET /web//index.php?r=country%2Findex HTTP/1.1" 500 97224 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:11:56:51 +0100] "-" 408 - "-" "-"
- - - [25/Mar/2022:11:59:11 +0100] "GET /web//index.php?r=country%2Findex HTTP/1.1" 200 1101 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:11:59:11 +0100] "GET /web/css/site.css HTTP/1.1" 200 605 "http://localhost:81/web//index.php?r=country%2Findex" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:11:59:11 +0100] "GET /web/assets/b9b898b0/yii.js HTTP/1.1" 200 5813 "http://localhost:81/web//index.php?r=country%2Findex" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
- - - [25/Mar/2022:11:59:11 +0100] "GET /web/assets/89b870a/css/bootstrap.css HTTP/1.1" 200 26384 "http://localhost:81/web//index.php?r=country%2Findex" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36"
